TextID_D,Date_D,Ruler,Year,Month,Day,Dossier_D,Archive_D,Genre_D,Locus_D,Stratum_D,ExcNum_C,MusAcc_C,Mus_C,TNum,Pnum,TextID_A,TextID_C,TextNum_A
UR 1505,1814,Rim-Sin,9,11, -,Nanna-imah?,"Ur (unprov., 1919)",Legal - Loan (silver),,,-,-,YBC 05427,T6279,P306499,-,YOS 05 136,YOS 5 136
UR 247,1814,Rim-Sin,9.,11, -,Ku-Ningal,"Ur's Extra-mural (EM), Quiet Street 7",Legal - Lawsuit,,,U 31578,-,BM �,T22516,P381979,U.31578,"Nisaba 12 /4, 03",Nisaba 12 IV 3
UR 747,1814,Rim-Sin,9,11, -,Ku-Ningal,"Ur's Extra-mural (EM), Quiet Street 7",Legal - Agreement,,,U 07827l,-,IM 057290,T5720,P415123,IM 57290 = U.7827l,UET 5 236,UET 5 236
NIPPUR 11144,1814,Rim-Sin,9,11,11,"E-shumesha (Expenditures, sa-du)","Nippur's Ninurta Temple, Eshumesha",Administrative,,,5N-T0374,-,IM �,-,P500745,-,BiMes 11 no. 305,-
UR 80,1814,Rim-Sin,9,12, -,"""Isolated Texts""",Ur's Extra-mural (EM)?,Legal - Inheritance,,,-,B 024,BM 033181,T22141,P498171,BM 33161-a = B.4-a // BM 33181 = B.24 // BM 33181-a+BM 33276+BM 33303,TS 014,HEO 12 14
UR 1323,1814,Rim-Sin,9,12, 10,Administrative (sheep),UR (UET 5),Administrative - animal record?,,,U 16509,-,IM 057583,T12869,P415685,IM 57583 = U.16509,UET 5 815,UET 5 815
UR 663,1814,Rim-Sin,9,2, -,Addu-gugal,UR (UET 5),Legal - Sale (House),,,U 13099,"1953-04-11, 0089",BM 131254,T13000,P415045,"BM 131254 = 1953-04-11,89 = U.13099",UET 5 152,UET 5 152
NIPPUR 240,1814,Rim-Sin,9,3, -,TA - House F (Nanna-Mansum)?,Nippur (Hilprecht),Legal - Sale (House),,,-,-,HS 2386a & HS 2385b + HS 2477b,T23381,P512575,HS 2385-a+HS 2477-b // HS 2385-b,TMH 10 30,TMH 10 30
UR 634,1814,Rim-Sin,9,4, -,Ku-Ningal,"Ur's Extra-mural (EM), Quiet Street 7",Legal - Land Exchange,,,U 07836?,-,IM 067728,T5719,P283669,IM 57234 = U.7836i,UET 5 123,UET 5 123
UR 719,1814,Rim-Sin,9,5, -,ib-ta-e,"Ur's Neighborhood (AH), Paternoster Row",Legal - Rental (Land),House 24,,-,-,IM 057276,T12157,P415097,IM 57276,UET 5 208,UET 5 208
UR 656,1814,Rim-Sin,9,8, -,Addu-gugal,Ur's City Wall (CLW),Legal - Sale (House),,,U 13009,-,UM 52-30-094 ?,T12995,P415040,UM 52-30-94 = U.13009,UET 5 145,UET 5 145
UR 690,1814,Rim-Sin,9,9, -,Ku-Ningal,"Ur's Extra-mural (EM), Quiet Street 7",Legal - Sale (Land),,,U 07827k,"1953-04-11, 0095",BM 131260,T5723,P283675,"BM 131260 = 1953-04-11, 95 = U.7827k",UET 5 179,UET 5 179
UR 626,1813,Rim-Sin,10,-,-,Legal (inheritance),"Ur's Neighborhood (AH), Paternoster Row/Bazaar Alley ",Legal - Inheritance,,,U 16830n,"1953-04-11, 0078",BM 131243,T12136,P415016,"BM 131243 = 1953-04-11, 78 = U.16830N",UET 5 115,UET 5 115
UR 55,1813,Rim-Sin,10,1, -,Imgur-Sin (Leemans 1955),Ur (unprov),Legal - Inheritance,,,-,-,A 13120 & HE 316 + HE 317,T17775,P432972,A 13120 // HE 316+HE 317,Fs Biggs 065-079 & DoCu 316 + 317,Farber M�l. Biggs
UR 1111,1813,Rim-Sin,10,10, -,Legal (gift),"Ur's Neighborhood (AH), Paternoster Row/Bazaar Alley ",Legal - Gift,,,U 16830r,-,IM 057474,T12312,P415477,IM 57474 = U.16830R,UET 5 603,UET 5 603
UR 757,1813,Rim-Sin,10,10, -,legal (Lawsuit),"Ur's Neighborhood (AH), Paternoster Row 8-10",Legal - Lawsuit,,,U 16826f,-,IM 057295,T13056,P415134,IM 57295 = U.16826F,UET 5 247,UET 5 247
UR 1250,1813,Rim-Sin,10,11, -,Giparu (Ku-lugalbanda),Ur's Giparu (KP),Administrative - Delivery,,,-,-,IM 057547,T12798,P415612,IM 57547,UET 5 742,UET 5 742
UR 924,1813,Rim-Sin,10,11, 15,ili-ippalsam,"Ur's Neighborhood (AH), Store Street no 1",Legal - Loan (silver),,,U 17206g,-,IM 057376,T12419,P415293,IM 57376 = U.17206G,UET 5 415,UET 5 415
UR 1151,1813,Rim-Sin,10,12, -,Ea-Nasir,"Ur's Neighborhood (AH), Old Street 1",Administrative - Investments?,,,-,-,IM 057492,T12701,P415515,IM 57492,UET 5 643,UET 5 643
UR 1324,1813,Rim-Sin,10,12, -,Administrative (sheep),UR (UET 5),Administrative - animal record?,,,U 16522d,-,IM 057584,T12870,P415686,IM 57584 = U.16522d,UET 5 816,UET 5 816
UR 1325,1813,Rim-Sin,10,12, -,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (sheep),,,U 17211h,-,IM 057585,T12871,P415687,IM 57585 = U.17211H,UET 5 817,UET 5 817
UR 621,1813,Rim-Sin,10,12, -,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (animal),,,U 17211b,-,UM 52-30-084,T12133,P415012,UM 52-30-84 = U.17211B,UET 5 111,UET 5 111
UR 1936,1813,Rim-Sin,10,12,25,Administrative (tab account),"Ur (unprov., 1919)",Administrative - animal record,,,-,-,YBC 06209,-,P307245,-,YOS 05 196,-
UR 1063,1813,Rim-Sin,10,12, 30,Ea-Nasir,"Ur's Neighborhood (AH), Old Street 1",Administrative - account receipt,,,U �,"1953-04-11, 0180",BM 131345,T12616,P415429,"BM 131345 = 1953-04-11, 180",UET 5 554,UET 5 554
UR 657,1813,Rim-Sin,10,5, -,Addu-gugal,Ur's City Wall (CLW),Legal - Sale (House),,,U 13007,-,UM 52-30-095 & UM 52-30-095a ?,T12996,P415041,UM 52-30-95 = U.13007,UET 5 146,UET 5 146
UR 847,1813,Rim-Sin,10,5, -,Apil-kittim,"Ur's Neighborhood (AH), Church Lane 2",Legal - Loan (silver),,,U 16501,-,IM 057345,T12351,P415220,IM 57345 = U.16501,UET 5 338,UET 5 338
UR 76,1813,Rim-Sin,10,5, -,"""Isolated Texts""",Ur's Extra-mural (EM)?,Legal - Sale (House),,,-,B 022,BM 033179,T22142,P463111,BM 33179 = B.22 // BM 33179-a = B.22-a,TS 008,HEO 12 8
UR 77,1813,Rim-Sin,10,7, -,Son of Dada,Ur's Extra-mural (EM)?,"Legal - Sale (House, Land)",,,-,B 030,BM 033187,T22135,P498166,BM 33187 = B.30 // BM 33187-a = B.30-a,TS 009,HEO 12 9
UR 1022,1813,Rim-Sin,10,8, 14,Nanna's silo,Ur's Mausoleum (BC),Administrative - Delivery (reeds),,,U 17246i,"1953-04-11, 0177",BM 131342,T12311,P415388,"BM 131342 = 1953-04-11, 177 = U.17246I",UET 5 513,UET 5 513
UR 620,1813,Rim-Sin,10,9, -,Legal (inheritance),"UR (CHECK Ur-Online, AH?)",Legal - Inheritance,,,U �,-,UM 52-30-083,T12132,P415011,UM 52-30-83,UET 5 110,UET 5 110
NIPPUR 8367,1813,Damiq-ili�u,4,10,-,TB - House B?: Warad-Enlil?,Nippur (unprov),Legal - Sale (Land),,,-,-,Ist Ni 00620,-,P313136,-,ARN 015,-
NIPPUR 116,1813,Damiq-ili�u,4,12, -,TA - House F (Nanna-Mansum),Nippur (unprov),Legal - Sale (Land),,,-,-,Ist Ni 13209,T4732,P500488,Ni. 13209,Belleten 26 041-042,�ig & Kizilyay Belleten 26 2
NIPPUR 135,1813,Damiq-ili�u,4,9, -,TB - Naditu,Nippur (unprov),Legal - Sale (Land),,,-,-,MAH 15888,T5767,P423871,MAH 15888,RA 076 102 n. 21,"MAH 15888 (Lieberman RA 76, p. 102 n. 21)"
UR 1201,1813,-,-,-, -,Administrative (names),UR (UET 5),Administrative - names,,,-,-,IM 057520,T12749,P415563,IM 57520,UET 5 693,UET 5 693
UR 253,1812,Rim-Sin,11,-,-,ili-ippalsam,"Ur's Neighborhood (AH), Store Street no 1",Legal - sale of inheritance,,,U 31357,-,BM �,T22522,P381985,U.31357,"Nisaba 12 /4, 09 = 19, 260",Nisaba 12 IV 9
UR 703,1812,Rim-Sin,11,-, -,ili-ippalsam,"Ur's Neighborhood (AH), Church Lane 1",Legal - sale of inheritance,,,U �,-,UM 52-30-106,T13023,P415082,UM 52-30-106,Nisaba 12 p.150,UET 5 192
UR 659,1812,Rim-Sin,11,10, -,legal (land sale),"Ur's Neighborhood (AH), Paternoster Row/Bazaar Alley ",Legal - Sale (House),,,U 16830d,"1953-04-11, 0085",BM 131250,T12998,P415043,"BM 131250 = 1953-04-11, 85 = U.16830D",UET 5 148,UET 5 148
UR 1200,1812,Rim-Sin,11,11,-,legal (witness),Ur (unprov),Legal - Witnesses,,,U 08810d,-,IM 057519,T6266,P283694,IM 57519 = U.8810d,UET 5 692,UET 5 692
UR 78,1812,Rim-Sin,11,11, -,"""Isolated Texts""",Ur's Extra-mural (EM)?,Legal - Sale (Land),,,-,B 036,BM 033193,T22151,P498168,BM 33193 = B.36 // BM 33193-a = B.36-a,TS 011,HEO 12 11
UR 225,1812,Rim-Sin,11,2, -,Ganunmah of Ningal,Ur's Ganunmah (TTB),Administrative - receipt,,,U 31596,-,BM �,T22484,P381957,U.31596,"Nisaba 12 /3, 10",Nisaba 12 III 10
UR 1326,1812,Rim-Sin,11,2, 1,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - arrears,,,U 17212a,-,IM 057586,T12872,P415688,IM 57586 = U.17212A,UET 5 818,UET 5 818
UR 1011,1812,Rim-Sin,11,3, -,Nanna's silo,Ur's Mausoleum (BC),Administrative - Allotment,,,U 17246h,"1953-04-11, 0176",BM 131341,T12310,P415377,"BM 131341 = 1953-04-11, 176 = U.17246H",UET 5 502,UET 5 502
UR 991,1812,Rim-Sin,11,5, -,Nanna's silo,Ur's Mausoleum (BC),Administrative - expenditure (barley),,,U 17246b,-,IM 057412,T12548,P415357,IM 57412 = U.17246B,UET 5 482,UET 5 482
UR 1506,1812,Rim-Sin,11,6, -,Legal (inheritance),"Ur (unprov., 1919)",Legal - Inheritance distribution,,,-,-,YBC 07076,T11837,P308068,YBC 7076,YOS 05 148,YOS 5 148
UR 658,1812,Rim-Sin,11,6, -,Legal (house sale),"Ur's Neighborhood (AH), Church Lane 1",Legal - Sale (House),,,U 16573,-,UM 52-30-096,T12997,P415042,UM 52-30-96 = U.16573,UET 5 147,UET 5 147
UR 781,1812,Rim-Sin,11,6, -,Ku-Ningal,"Ur's Extra-mural (EM), Quiet Street 7",Legal - Gift,,,U 07836?.1,-,UM 52-30-126 & UM 52-30-126a ?,T6207,P283682,UM 52-30-126 = U.7836?(1),UET 5 272,UET 5 272
NIPPUR 125,1812,Damiq-ili�u,5,8, -,TB - Naditu,Nippur (unprov),Legal - Exchange (Land),,,-,-,FLP 2360,T5769,P460743,FLP 2360,RA 076 104 n. 34,"FLP 2360 (Lieberman RA 76, p. 104 n. 33)"
UR 1112,1811,Rim-Sin,12,12-bis,-,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (dairy),,,U 17213a,-,IM 057475,T12664,P415478,IM 57475 = U.17213A,UET 5 604,UET 5 604
UR 660,1811,Rim-Sin,12,5, -,Ibbi-ilabrat,Ur's E-Hur-Sag (EH),Legal - Sale (House),LG/152.5 or 153,,U 06314 ?,"1953-04-11, 0086",BM 131251,T6274,P283673,"BM 131251 = 1953-04-11, 86 = U.6314",UET 5 149,UET 5 149
UR 692,1810,Rim-Sin,13,4, -,Addu-gugal,Ur's City Wall (CLW),Legal - Sale (Land),,,U 13020,"1953-04-11, 0097",BM 131262,T12151,P415072,"BM 131262 = 1953-04-11, 97 = U.13020",UET 5 181,UET 5 181
UR 603,1810,Rim-Sin,13,9, -,Legal (adoption),"Ur's Neighborhood (AH), Paternoster Row 8-10",Legal - Adoption,,,U 16826m,-,UM 52-30-079,T12117,P414995,UM 52-30-79 = U.16826M,UET 5 93,UET 5 93
NIPPUR 494,1810,Damiq-ili�u,7,12,-,TA - House M?: Shesh-kalla?,"Nippur (TIM 4, purchased by S. David)",Legal - Sale (House),,,-,-,IM 010897,-,P223281,-,TIM 04 18,-
NIPPUR 5829,1810,Damiq-ili�u,7,6,-,TB - House B?: Warad-Enlil?,Nippur (PBS 8),Legal - Sale (Prebend),,,-,-,CBS 13983,-,P268977,-,"PBS 08 /1, 015",-
UR 906,1809,Rim-Sin,14,-, -,Iddin-Ea and Ibni-Ea,"Ur's Neighborhood (AH), Straight Street 3",Legal - Loan (dates),,,U 16096,-,UM 52-30-158,T12402,P415276,UM 52-30-158 = U.16096,UET 5 397,UET 5 397
UR 949,1809,Rim-Sin,14,-, -,House NW of House I,Ur's Neighborhood (AH),Legal - Care (infant),,,U 16534,-,IM 057393,T12507,P415317,IM 57393 = U.16534,UET 5 440,UET 5 440
NIPPUR 241,1809,Rim-Sin,14,12, -,TA - House I?: Damiq-ilishu,Nippur (Hilprecht),Legal - Sale (House),,,-,-,HS 2247,T23385,P512576,HS 2247,TMH 10 31,TMH 10 31
UR 814,1809,Rim-Sin,14,12, -,Iddin-Ea and Ibni-Ea,"Ur's Neighborhood (AH), Church Lane 2",Legal - Claim (fiber),,,U 17249.61,-,IM 057324,T12321,P415188,"IM 57324 = U.17249,61",UET 5 305,UET 5 305
UR 815,1809,Rim-Sin,14,12, -,Iddin-Ea and Ibni-Ea,"Ur's Neighborhood (AH), Church Lane 2",Legal - Loan (silver),,,U 16507,-,IM 057325,T12322,P415189,IM 57325 = U.16507d,UET 5 306,UET 5 306
UR 816,1809,Rim-Sin,14,12-bis, -,Iddin-Ea and Ibni-Ea,"Ur's Neighborhood (AH), Straight Street 3",Legal - Loan (shu-la),,,U 16504a,-,IM 057326,T12323,P415190,IM 57326 = U.16504a,UET 5 307,UET 5 307
UR 52,1809,Rim-Sin,14,8, -,Nanna-imah,Ur (unprov),Legal - Rental (House),,,-,-,NBC 01235,T6280,P297142,NBC 1235,BIN 02 83,BIN 2 83
NIPPUR 415,1809,Damiq-ili�u,8,6, 21,"CRH (Expenditures, Textiles)",Nippur (unprov),Administrative - Expenditures (textiles),,,-,-,UM 29-15-941,T5770,P256580,UM 29-15-941,RA 076 117,"UM 29-15-941 (Lieberman RA 76, p. 117)"
NIPPUR 5654,1809,Damiq-ili�u,8,8,-,TA - House K?: Ninlil-Zimu (Abba-Kalla),Nippur (PBS 8),Legal - Inheritance,,,-,-,CBS 11662,-,P266803,-,"PBS 08 /1, 012",-
UR 720,1808,Rim-Sin,15,10, -,ib-ta-e,"Ur's Neighborhood (AH), Paternoster Row/Bazaar Alley ",Legal - Rental (Land),,,U 16830o,-,IM 057277,T12158,P415098,IM 57277 = U.16830O,UET 5 209,UET 5 209
UR 884,1808,Rim-Sin,15,10, -,Iddin-Ea and Ibni-Ea,"Ur's Neighborhood (AH), Church Lane 2",Legal - Loan (shu-la),,,U 16527,-,IM 057358,T12381,P415255,IM 57358 = U.16527,UET 5 375,UET 5 375
UR 79,1808,Rim-Sin,15,5, -,"""Isolated Texts""",Ur's Extra-mural (EM)?,Legal - Adoption,,,-,B 026,BM 033183,T21688,P498170,BM 33183 = B.26 // BM 33183-a = B.26-a,TS 013,HEO 12 13
UR 670,1808,Rim-Sin,15,6, -,Ea-Nasir,"Ur's Neighborhood (AH), Old Street 1",Legal - Sale (Land),,,U 16194c,-,IM 057254,T12139,P415052,IM 57254 = U.16194c,UET 5 159,UET 5 159
UR 1152,1808,Rim-Sin,15,8, 14,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (reeds),,,U 17216m,-,IM 057493,T12702,P415516,IM 57493 = U.17216M,UET 5 644,UET 5 644
UR 273,1807,Rim-Sin,16,-,-,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Expenditures (reeds),,,U �,-,IM 090330,T22551,P382007,IM 90330,"Nisaba 12 /6, 12",Nisaba 12 VI 12
UR 1153,1807,Rim-Sin,16,1, 26,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - account receipt,,,U 17211i,-,IM 057494,T12703,P415517,IM 57494 = U.17211I,UET 5 645,UET 5 645
UR 1154,1807,Rim-Sin,16,1, 27,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (reeds),,,U 17214e,-,IM 057495,T12704,P415518,IM 57495 = U.17214E,UET 5 646,UET 5 646
UR 1155,1807,Rim-Sin,16,1, 30,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - arrears,,,U 17216o,-,IM 057496,T12705,P415519,IM 57496 = U.17216O,UET 5 647,UET 5 647
UR 1185,1807,Rim-Sin,16,10, -,School?,"Ur's Neighborhood (AH), Broad Street 1?",Administrative - Delivery (boar),,,U �,-,UM 52-30-228,T12734,P415549,UM 52-30-228,UET 5 677,UET 5 677
UR 505,1807,Rim-Sin,16,10, -,Legal (inheritance),Ur (unprov),Legal - division of inheritance,,,-,-,IM 043425,T25227,P223329,IM 43425,TIM 05 15,TIM 5 15
UR 661,1807,Rim-Sin,16,10, -,Ku-Ningal?,"Ur's Neighborhood (AH), Paternoster Row 8-10",Legal - Sale (House),,,U 16826g,"1953-04-11, 0087",BM 131252,T6261,P283674,"BM 131252 = 1953-04-11, 87 = U.16826G",UET 5 150,UET 5 150
UR 848,1807,Rim-Sin,16,10, -,Legal (loan),UR (UET 5),Legal - Loan (silver),,,U �,-,UM 52-30-140,T12352,P415221,UM 52-30-140,UET 5 339,UET 5 339
UR 755,1807,Rim-Sin,16,10, 30,Ku-Ningal?,"Ur's Neighborhood (AH), Paternoster Row 8-10",Legal - Slave remission,,,U 16827e,"1953-04-11, 0112",BM 131277,T13053,P415131,"BM 131277 = 1953-04-11, 112 = U.16827E",UET 5 244,UET 5 244
UR 849,1807,Rim-Sin,16,11, 15,Nidittum,"Ur's Royal Cemetery (PG), Eastward Extension",Legal - Loan (silver),,,U 18726,-,UM 52-30-141,T12353,P415222,UM 52-30-141 = U.18726,UET 5 340,UET 5 340
UR 1028,1807,Rim-Sin,16,12, -,Ea-Nasir,"Ur's Neighborhood (AH), Old Street 1",Administrative - Investments?,,,U 16522b,-,UM 52-30-187,T12582,P415394,UM 52-30-187 = U.16522b,UET 5 519,UET 5 519
UR 817,1807,Rim-Sin,16,12, -,Legal (loan),Ur's City Wall (CLW),Legal - Loan (shu-la),,,U 13623,-,IM 057327,T12324,P415191,IM 57327 = U.13623,UET 5 308,UET 5 308
UR 1156,1807,Rim-Sin,16,2,-,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - arrears,,,U 17216k,-,IM 057497,T12706,P415520,IM 57497 = U.17216K,UET 5 648,UET 5 648
UR 1158,1807,Rim-Sin,16,3, 26,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - arrears,,,U 17216n,-,IM 057499,T12708,P415522,IM 57499 = U.17216N,UET 5 650,UET 5 650
UR 1157,1807,Rim-Sin,16,3, 7,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - arrears,,,U 17216b,-,IM 057498,T12707,P415521,IM 57498 = U.17216B,UET 5 649,UET 5 649
UR 1159,1807,Rim-Sin,16,5, 20,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - arrears,,,U 17216c,-,IM 057500,T12709,P415523,IM 57500 = U.17216C,UET 5 651,UET 5 651
UR 1160,1807,Rim-Sin,16,5, 30,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (reeds),,,U 17216d,-,IM 057501,T12710,P415524,IM 57501 = U.17216D,UET 5 652,UET 5 652
UR 1161,1807,Rim-Sin,16,5, 30,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (reeds),,,U 17216p,-,UM 52-30-220,T12711,P415525,UM 52-30-220 = U.17216P,UET 5 653,UET 5 653
UR 1162,1807,Rim-Sin,16,6, 14,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - account receipt,,,U 17211z,-,IM 057504,T12712,P415526,IM 57504 = U.17211Z,UET 5 654,UET 5 654
UR 1163,1807,Rim-Sin,16,6, 15,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (reeds),,,U 17216f,-,UM 52-30-221,T12713,P415527,UM 52-30-221 = U.17216F,UET 5 655,UET 5 655
UR 1164,1807,Rim-Sin,16,6, 30,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - arrears,,,U 17216j,-,UM 52-30-222,T12714,P415528,UM 52-30-222 = U.17216J,UET 5 656,UET 5 656
UR 1165,1807,Rim-Sin,16,7, 20,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (reeds),,,U 17216e,-,UM 52-30-223,T12715,P415529,UM 52-30-223 = U.17216E,UET 5 657,UET 5 657
UR 1166,1807,Rim-Sin,16,7, 20,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (reeds),,,U 17216a,"1953-04-11, 0213",BM 131378,T12716,P415530,"BM 131378 = 1953-04-11, 213 = U.17216A",UET 5 658,UET 5 658
UR 1168,1807,Rim-Sin,16,8, 13,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - Delivery (reeds),,,U 17216l,"1953-04-11, 0215",BM 131380,T12718,P415532,"BM 131380 = 1953-04-11, 215 = U.17216L",UET 5 660,UET 5 660
UR 1167,1807,Rim-Sin,16,8, 4,School?,"Ur's Neighborhood (AH), Broad Street 1",Administrative - arrears,,,U 17216i,"1953-04-11, 0214",BM 131379,T12717,P415531,"BM 131379 = 1953-04-11, 214 = U.17216I",UET 5 659,UET 5 659
UR 226,1807,Rim-Sin,16,9, -,Ganunmah of Ningal,Ur's Ganunmah (TTB),Administrative - receipt,,,U �,-,IM 090186,T22485,P381958,IM 90186,"Nisaba 12 /3, 11",Nisaba 12 III 11
UR 259,1807,Rim-Sin,16,9, 30,Legal (loan),Ur (unprov),Legal - Loan (silver),,,U 31593,-,BM �,T22534,P381991,U.31593,"Nisaba 12 /5, 04",Nisaba 12 V 4
NIPPUR 136,1807,Damiq-ili�u,10,6, 14,TB - Naditu,Nippur (unprov),Legal - Sale (Land),,,-,-,MAH 15937,T5768,P423914,MAH 15937,RA 076 p. 104 n. 33,"MAH 15937 (Lieberman RA 76, p. 104 n. 33)"
NIPPUR 539,1807,Damiq-ili�u,10,8,-,"TB - House A: Legal (Real Estate, Land sale)",Nippur's Scribal Quarter (TB),Legal - Sale (Land),51,I-2,2N-T0470,-,IM 058018,-,P224364,-,SAOC 44 63,-
UR 81,1806,Rim-Sin,17,10, 30,"""Isolated Texts""",Ur's Extra-mural (EM)?,Legal - Sale (House),,,-,B 032,BM 033189,T22152,P498172,BM 33189 = B.32 // BM 33189-a = B.32-a,TS 015,HEO 12 15
UR 885,1806,Rim-Sin,17,11, -,Iddin-Ea and Ibni-Ea,"Ur's Neighborhood (AH), Church Lane 2",Legal - Loan (shu-la),,,U 17249.18,-,IM 057359,T12382,P415256,"IM 57359 = U.17249,18",UET 5 376,UET 5 376
UR 82,1806,Rim-Sin,17,11, -,"Sin-imguranni, son of Ipqusha",Ur's Extra-mural (EM)?,Legal - Sale (House),,,-,B 029,BM 033186,T22124,P498173,BM 33186 = B.29 // BM 33186-a = B.29-a+BM 33293 = B.136+BM 33315 = B.158,TS 016,HEO 12 16
UR 1500,1806,Rim-Sin,17,3, -,legal (land sale),"Ur (unprov., 1919)",Legal - Sale (Land),,,-,-,YBC 04774,T22824,P305918,YBC 4774,YOS 05 107,YOS 5 107
UR 662,1806,Rim-Sin,17,3, -,Tab-ilishu,"Ur's Neighborhood (AH), Church Lane 2",Legal - Sale (House),,,U 16068,"1953-04-11, 0088",BM 131253,T12999,P415044,"BM 131253 = 1953-04-11, 88 = U.16068",UET 5 151,UET 5 151
NIPPUR 486,1806,Damiq-ili�u,11,-,-,"TB - Sin-erish, merchant","Nippur (TIM 4, purchased by S. David)",Legal - Inheritance,,,-,-,IM 010886,-,P223271,-,TIM 04 8,-
NIPPUR 492,1806,Damiq-ili�u,11,1,-,"TB - Sin-erish, merchant","Nippur (TIM 4, purchased by S. David)",Legal - Inheritance,,,-,-,IM 010895,-,P223279,-,TIM 04 16,-
NIPPUR 96,1806,Damiq-ili�u,11,8, -,TB - Naditu,Nippur (unprov),Legal - Sale (House),,,-,-,Ist Ni 09304 + Ist Ni 13234,T4226,P313268,Ni. 9304+Ni. 13234,ARN 153,ARN 153
UR 850,1805,Rim-Sin,18,1, -,Adad-bani,"Ur's Neighborhood (AH), Paternoster Row/Bazaar Alley ",Legal - Loan (silver),,,U 16830k,-,UM 52-30-142,T12301,P415223,UM 52-30-142 = U.16830K,UET 5 341,UET 5 341
UR 886,1805,Rim-Sin,18,10, -,Iddin-Ea and Ibni-Ea,"Ur's Neighborhood (AH), Church Lane 2",Legal - Loan (barley),,,U 17246o,-,UM 52-30-152,T12383,P415257,UM 52-30-152,UET 5 377,UET 5 377
UR 782,1805,Rim-Sin,18,11, -,Legal (dowry),"Ur's Neighborhood (AH), Paternoster Row/Bazaar Alley ",Legal - dowry,,,U 16830e,"1953-04-11, 0120",BM 131285,T13075,P415157,"BM 131285 = 1953-04-11, 120 = U.16830E",UET 5 273,UET 5 273
UR 898,1805,Rim-Sin,18,12, -,Iddin-Ea and Ibni-Ea,"Ur's Neighborhood (AH), Church Lane 2","Legal - Loan (barley, silver)",,,-,-,IM 057364,T12394,P415268,IM 57364,UET 5 389,UET 5 389
UR 864,1805,Rim-Sin,18,12, 30,Legal (loan),UR (UET 5),Legal - Loan (silver),,,U 14011,-,IM 057346,T12363,P415237,IM 57346 = U.14011,UET 5 355,UET 5 355
UR 835,1805,Rim-Sin,18,12-bis, 30,Nidittum,"Ur's Royal Cemetery (PG), Eastward Extension",Legal - Loan (silver),,,U 18736,-,IM 057333,T12342,P415208,IM 57333 = U.18736,UET 5 326,UET 5 326
UR 1122,1805,Rim-Sin,18,5, -,Ea-Nasir?,"Ur's Neighborhood (AH), Old Street 1",Administrative - Delivery (animal),,,U 16522.2,-,IM 057480,T12673,P415486,IM 57480 = U.16522(2) // ,UET 5 614,UET 5 614
UR 851,1805,Rim-Sin,18,9, -,Adad-bani,"Ur's Neighborhood (AH), Paternoster Row/Bazaar Alley ",Legal - Loan (silver),,,U 16830v,-,UM 52-30-143,T12302,P415224,UM 52-30-143 = U.16830V,UET 5 342,UET 5 342
UR 887,1805,Rim-Sin,18,9, -,Iddin-Ea and Ibni-Ea,"Ur's Neighborhood (AH), Church Lane 2",Legal - Loan (barley),,,U 16526c,-,UM 52-30-153,T12384,P415258,UM 52-30-153 = U.16526e,UET 5 378,UET 5 378
NIPPUR 499,1805,Damiq-ili�u,12,12,-,"TB - Sin-erish, merchant","Nippur (TIM 4, purchased by S. David)",Legal - Sale (Land),,,-,-,IM 010902,-,P223286,-,TIM 04 23,-
UR 1169,1804,Rim-Sin,19,10, -,Ea-Nasir,"Ur's Neighborhood (AH), Old Street 1",Administrative - Investments?,,,U 16522a,-,IM 057505,T12719,P415533,IM 57505 = U.16522a,UET 5 661,UET 5 661
UR 871,1804,Rim-Sin,19,11, -,Legal (loan),"Ur's Extra-mural (EM), Quiet Street 7",Legal - Loan (silver),,,U 07804.3,-,UM 52-30-149,T12369,P415244,"UM 52-30-149 = U.7804,3",UET 5 362,UET 5 362
UR 705,1804,Rim-Sin,19,12, -,Ur-Ningirsu,Ur (unprov),Legal - prebend purchase,,,-,-,IM 057268,T13025,P415084,IM 57268,Nisaba 12 p.152f,UET 5 194
